School,id,Type,Function,Contact Name,Address,Town,State,Zip,Phone,Fax,Grade
Spencer-E Brookfield: East Brookfield Elementary,7670008,Public School,Principal,Ronald Tomlin,410 East Main Street,East Brookfield,MA,1515,508-885-8536,508-885-8571,"PK,K,01,02,03,04,05,06"
Spencer-E Brookfield: Knox Trail Middle School,7670415,Public School,Principal,Jodi Bourassa,73 Ash Street,Spencer,MA,1562,508-885-8550,508-885-8557,"05,06,07,08"
Spencer-E Brookfield: Wire Village School,7670040,Public School,Principal,Linda Stanelun,60 Paxton Road,Spencer,MA,1562,508-885-8524,508-885-8546,"K,01,02,03,04"
Springfield: Alfred G. Zanetti Montessori Magnet School,2810095,Public School,Principal,Tara Clark,474 Armory St,Springfield,MA,1104,413-787-7400,413-787-7701,"PK,K,01,02,03,04,05,06,07,08"
Springfield: Alice B Beal Elementary,2810175,Public School,Principal,Deborah Beglane,285 Tiffany Street,Springfield,MA,1108,413-787-7544,413-787-7363,"K,01,02,03,04,05"
Springfield: Arthur T Talmadge,2810165,Public School,Principal,Carla Lussier,1395 Allen Street,Springfield,MA,1118,413-787-7249,413-750-2743,"K,01,02,03,04,05"
Springfield: Balliet Middle School,2810360,Public School,Principal,Rhonda Reddick,111 Seymour Avenue,Springfield,MA,1109,413-787-7284,413-787-6784,"06,07,08"
Springfield: Brightwood,2810025,Public School,Principal,John Doty,471 Plainfield Street,Springfield,MA,1107,413-787-7238,413-787-7477,"K,01,02,03,04,05"
Springfield: Chestnut Academy,2810365,Public School,Principal,Daniel Sullivan,355 Plainfield Street,Springfield,MA,1107,413-750-2333,413-750-2351,"06,07,08"
Springfield: Chestnut Accelerated Middle School (Talented and Gifted),2810367,Public School,Principal,Colleen O'Connor,355 Plainfield Street,Springfield,MA,1107,413-750-2333,413-750-2351,"06,07,08"
Springfield: Conservatory of the Arts,2810475,Public School,Principal,Ryan Kelly,34 Kopernik Street,Springfield,MA,1151,413-787-6914,--,"06,07,08,09,10,11,12"
Springfield: Daniel B Brunton,2810035,Public School,Principal,Martha Stetkiewicz,1801 Parker Street,Springfield,MA,1128,413-787-7444,413-787-7205,"K,01,02,03,04,05"
Springfield: Edward P. Boland School,2810010,Public School,Principal,Lisa Bakowski,426 Armory Street,Springfield,MA,1104,413-750-2511,413-750-2396,"PK,K,01,02,03,04,05"
Springfield: Elias Brookings,2810030,Public School,Principal,Terry Powe,433 Walnut Street,Springfield,MA,1105,413-787-7200,413-787-7996,"PK,K,01,02,03,04,05"
Springfield: Forest Park Middle,2810325,Public School,Principal,Thomas Mazza,46 Oakland Street,Springfield,MA,1108,413-787-7420,413-787-7419,"06,07,08"
Springfield: Frank H Freedman,2810075,Public School,Principal,Medina Ali,90 Cherokee Dr,Springfield,MA,1109,413-787-7443,413-750-2367,"K,01,02,03,04,05"
Springfield: Frederick Harris,2810080,Public School,Principal,Shannon Collins,58 Hartford Ter,Springfield,MA,1118,413-787-7254,413-787-7333,"PK,K,01,02,03,04,05"
Springfield: German Gerena Community School,2810195,Public School,Principal,Cynthia Escribano,200 Birnie Avenue,Springfield,MA,1107,413-787-7320,413-750-2661,"PK,K,01,02,03,04,05"
Springfield: Glenwood,2810065,Public School,Principal,Martha Cahillane,50 Morrison Terrace,Springfield,MA,1104,413-787-7527,413-787-7468,"K,01,02,03,04,05"
Springfield: Glickman Elementary,2810068,Public School,Principal,Elizabeth Bienia,120 Ashland Avenue,Springfield,MA,1119,413-750-2756,413-750-2765,"K,01,02,03,04,05"
Springfield: Hiram L Dorman,2810050,Public School,Principal,Rhonda Stowell,20 Lydia Street,Springfield,MA,1109,413-787-7554,413-787-7771,"K,01,02,03,04,05"
Springfield: Homer Street,2810085,Public School,Principal,Catherine Roberts,43 Homer Street,Springfield,MA,1109,413-787-7526,413-750-2752,"K,01,02,03,04,05"
Springfield: Impact Prep at Chestnut,2810366,Public School,Principal,Nathaniel Higgins,355 Plainfield Street,Springfield,MA,1107,413-750-2333,413-750-2351,"06,07"
Springfield: Indian Orchard Elementary,2810100,Public School,Principal,Deanna Suomala,95 Milton Street,Indian Orchard,MA,1151,413-787-7255,413-787-7283,"PK,K,01,02,03,04,05"
Springfield: John F Kennedy Middle,2810328,Public School,Principal,Desmond Caldwell,1385 Berkshire Avenue,Springfield,MA,1151,413-787-7510,413-787-7561,"06,07,08"
Springfield: John J Duggan Middle,2810320,Public School,Principal,Michael Calvanese,1015 Wilbraham Rd,Springfield,MA,1109,413-787-7410,413-750-2209,"06,07,08,09,10,11,12"
Springfield: Kensington International School,2810110,Public School,Principal,Margaret Thompson,31 Kensington Avenue,Springfield,MA,1108,413-787-7522,413-787-7374,"K,01,02,03,04,05"
Springfield: Liberty,2810115,Public School,Principal,Robin Sanchez,962 Carew Street,Springfield,MA,1104,413-787-7299,413-750-2331,"K,01,02,03,04,05"
Springfield: Lincoln,2810120,Public School,Principal,Mark McCann,732 Chestnut Street,Springfield,MA,1107,413-787-7314,413-787-7364,"K,01,02,03,04,05"
Springfield: M Marcus Kiley Middle,2810330,Public School,Principal,Christopher Sutton,180 Cooley Street,Springfield,MA,1128,413-787-7240,413-787-7247,"06,07,08"
Springfield: Mary A. Dryden Veterans Memorial School,2810125,Public School,Principal,Sheila Hoffman,190 Surrey Rd,Springfield,MA,1118,413-787-7248,413-750-2314,"PK,K,01,02,03,04,05"
Springfield: Mary M Lynch,2810140,Public School,Principal,Linda Wilson,315 No Branch Pkwy,Springfield,MA,1119,413-787-7250,413-750-2165,"K,01,02,03,04,05"
Springfield: Mary M Walsh,2810155,Public School,Principal,Vinnie Regan,50 Empress Ct,Springfield,MA,1129,413-787-7448,413-750-2171,"K,01,02,03,04,05"
Springfield: Mary O Pottenger,2810145,Public School,Principal,Valerie Williams,1435 Carew Street,Springfield,MA,1104,413-787-7266,413-787-7006,"K,01,02,03,04,05"
Springfield: Milton Bradley School,2810023,Public School,Principal,Kristen Marie Hughes,22 Mulberry Street,Springfield,MA,1105,413-787-7475,413-750-2214,"PK,K,01,02,03,04,05"
Springfield: Rebecca M Johnson,2810055,Public School,Principal,Darcia Milner,55 Catherine Street,Springfield,MA,1109,413-787-6687,413-787-6697,"PK,K,01,02,03,04,05"
Springfield: Rise Academy at Van Sickle,2810480,Public School,Principal,Anna Breen,1170 Carew Street,Springfield,MA,1104,413-750-2887,413-750-2972,"06,07"
Springfield: STEM Middle Academy,2810350,Public School,Principal,Luis Martinez,60 Alton Street,Springfield,MA,1109,413-787-6750,413-787-6857,"06,07,08"
Springfield: Samuel Bowles,2810020,Public School,Principal,Jose Escribano,24 Bowles Park,Springfield,MA,1104,413-787-7334,413-750-2885,"K,01,02,03,04,05"
Springfield: South End Middle School,2810355,Public School,Principal,Cheryl Despirt-Lambert,36 Margaret Street,Springfield,MA,1105,413-750-2442,413-886-5292,"06,07,08"
Springfield: Springfield Public Day Elementary School,2810005,Public School,Principal,Rhonda Reddick,34 Nye Street,Springfield,MA,1104,413-886-5100,413-886-5090,"K,01,02,03,04,05"
Springfield: Springfield Public Day Middle School,2810345,Public School,Principal,Rhonda Reddick,118 Alden Street,Springfield,MA,1109,413-787-7261,413-787-6794,"06,07,08"
Springfield: Sumner Avenue,2810160,Public School,Principal,James McCann,45 Sumner Avenue,Springfield,MA,1108,413-787-7430,413-787-6229,"PK,K,01,02,03,04,05"
Springfield: The Springfield Renaissance School an Expeditionary Learning School,2810205,Public School,Principal,Arria Coburn,1170 Carew Street,Springfield,MA,1104,413-750-2929,413-750-2978,"06,07,08,09,10,11,12"
Springfield: Thomas M Balliet,2810015,Public School,Principal,Jennifer Montano,52 Rosewell St,Springfield,MA,1109,413-787-7446,413-787-7531,"PK,K,01,02,03,04,05"
Springfield: Van Sickle Academy,2810485,Public School,Principal,Robert Francesca,1170 Carew Street,Springfield,MA,1104,413-750-2887,413-750-2972,"06,07,08"
Springfield: Warner,2810180,Public School,Principal,Ann Stennett,493 Parker Street,Springfield,MA,1129,413-787-7258,413-750-2213,"PK,K,01,02,03,04,05"
Springfield: Washington,2810185,Public School,Principal,Keith Asher,141 Washington Street,Springfield,MA,1108,413-787-7551,413-787-7742,"PK,K,01,02,03,04,05"
Springfield: White Street,2810190,Public School,Principal,Kristen Marie Hughes,300 White Street,Springfield,MA,1108,413-787-7543,413-787-7349,"K,01,02,03,04,05"
Springfield: William N. DeBerry,2810045,Public School,Principal,Elizabeth Fazio,670 Union Street,Springfield,MA,1109,413-787-7582,413-787-6824,"K,01,02,03,04,05"
Stoneham: Colonial Park,2840005,Public School,Principal,Sarah Hardy,30 Avalon Road,Stoneham,MA,2180,781-279-3890,781-279-3892,"PK,K,01,02,03,04"
Stoneham: Robin Hood,2840025,Public School,Principal,Maura Donoghue,70 Oak Street,Stoneham,MA,2180,781-279-3870,781-438-8697,"PK,K,01,02,03,04"
Stoneham: South,2840030,Public School,Principal,Sharon Bird,11 Summer Street,Stoneham,MA,2180,781-279-3880,781-279-2104,"K,01,02,03,04"
Stoneham: Stoneham Central Middle School,2840405,Public School,Principal,Christopher Banos,101 Central Street,Stoneham,MA,2180,781-279-3840,781-279-3843,"05,06,07,08"
Stoughton: Helen Hansen Elementary,2850010,Public School,Principal,Faye Polillio,1800 Central Street,Stoughton,MA,2072,781-344-7006,781-344-4927,"K,01,02,03,04,05"
Stoughton: Joseph H Gibbons,2850025,Public School,Principal,Lynne Jardin,235 Morton Street,Stoughton,MA,2072,781-344-7008,781-344-2653,"K,01,02,03,04,05"
Stoughton: Joseph R Dawe Jr Elementary,2850014,Public School,Principal,Robert Cancellieri,131 Pine Street,Stoughton,MA,2072,781-344-7007,781-344-8271,"K,01,02,03,04,05"
Stoughton: O'Donnell Middle School,2850405,Public School,Principal,Matthew Colantonio,211 Cushing Street,Stoughton,MA,2072,781-344-7002,781-297-5263,"06,07,08"
Stoughton: South Elementary,2850015,Public School,Principal,Maureen Mulvey,171 Ash Street,Stoughton,MA,2072,781-344-7004,781-344-2876,"K,01,02,03,04,05"
Stoughton: West Elementary,2850020,Public School,Principal,Lisa Whelan,1322 Central Street,Stoughton,MA,2072,781-344-7005,781-344-2973,"PK,K,01,02,03,04,05"
Sturbridge: Burgess Elementary,2870005,Public School,Principal,Kathleen Ford-Pelley,45 Burgess School Rd,Sturbridge,MA,1566,508-347-7041,508-347-8237,"PK,K,01,02,03,04,05,06"
Sudbury: Ephraim Curtis Middle,2880305,Public School,Principal,Jeff Mela,22 Pratts Mill Road,Sudbury,MA,1776,978-443-1071,978-443-1098,"06,07,08"
Sudbury: General John Nixon Elementary,2880025,Public School,Principal,Jennifer Lamontagne,472 Concord Road,Sudbury,MA,1776,978-443-1080,978-443-0282,"K,01,02,03,04,05"
Sudbury: Israel Loring School,2880015,Public School,Principal,Thomas Johnson,80 Woodside Road,Sudbury,MA,1776,978-579-0870,978-579-0890,"K,01,02,03,04,05"
Sudbury: Josiah Haynes,2880010,Public School,Principal,Sharon Macdonald,169 Haynes Road,Sudbury,MA,1776,978-443-1093,978-443-7513,"K,01,02,03,04,05"
Sudbury: Peter Noyes,2880030,Public School,Principal,Annette Doyle,280 Old Sudbury Road,Sudbury,MA,1776,978-443-1085,978-443-6310,"PK,K,01,02,03,04,05"
Sunderland: Sunderland Elementary,2890005,Public School,Principal,Benjamin Barshefsky,1 Swampfield Drive,Sunderland,MA,1375,413-665-1151,413-665-4545,"PK,K,01,02,03,04,05,06"
Sutton: Sutton Elementary,2900005,Public School,Principal,Denise Harrison,Boston Rd,Sutton,MA,1590,508-581-1620,508-865-3628,"03,04,05"
Sutton: Sutton Middle School,2900305,Public School,Principal,Gerard Goyette,Boston Rd,Sutton,MA,1590,508-581-1630,508-581-1761,"06,07,08"
Swampscott: Clarke,2910005,Public School,Principal,Jennifer Hunt,100 Middlesex Avenue,Swampscott,MA,1907,781-596-8812,781-581-5556,"K,01,02,03,04"
Swampscott: Hadley,2910010,Public School,Principal,Ilana Bebchick,24 Redington Street,Swampscott,MA,1907,781-596-8847,781-592-5298,"K,01,02,03,04"
Swampscott: Stanley,2910020,Public School,Principal,Lois Longin,10 Whitman Rd,Swampscott,MA,1907,781-596-8837,781-592-9500,"K,01,02,03,04"
Swampscott: Swampscott Middle,2910305,Public School,Principal,Jason Calichman,207 Forest Avenue,Swampscott,MA,1907,781-596-8820,781-593-2126,"PK,05,06,07,08"
Swansea: Elizabeth S Brown,2920006,Public School,Principal,Wendy Williams,29 Gardners Neck Road,Swansea,MA,2777,508-675-7892,508-646-4411,"03,04,05"
Swansea: Joseph Case Jr High,2920305,Public School,Principal,Robert Silveira,195 Main Street,Swansea,MA,2777,508-675-0116,508-646-4413,"06,07,08"
Swansea: Joseph G Luther,2920020,Public School,Principal,Sean Scanlon,100 Pearse Road,Swansea,MA,2777,508-675-7499,508-646-4408,"03,04,05"
TEC Connections Academy Commonwealth Virtual School District: TEC Connections Academy Commonwealth Virtual School,39020900,Public School,Principal,Adam Goldberg,141 Mansion Drive,East Walpole,MA,2032,774-315-5123,--,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Tantasqua: Tantasqua Regional Jr High,7700405,Public School,Principal,Sean Gilrein,320B Brookfield Rd,Fiskdale,MA,1518,508-347-7381,508-347-3994,"07,08"
Taunton: Benjamin Friedman Middle,2930315,Public School,Principal,Kathleen Perry,500 Norton Avenue,Taunton,MA,2780,508-821-1493,508-821-3185,"05,06,07"
Taunton: East Taunton Elementary,2930010,Public School,Principal,Stephanie Hoye,58R Stevens Street,East Taunton,MA,2718,508-821-1330,508-821-1334,"K,01,02,03,04"
Taunton: Edmund Hatch Bennett,2930007,Public School,Principal,Michael Kelleher,47 North Walker Street,Taunton,MA,2780,508-821-1245,508-821-1353,"K,01,02,03,04"
Taunton: Elizabeth Pole,2930027,Public School,Principal,Lisa Riendeau,215 Harris Street,Taunton,MA,2780,508-821-1260,508-821-1363,"K,01,02,03,04"
Taunton: H H Galligan,2930057,Public School,Principal,Anabela Jones,15 Sheridan Street,Taunton,MA,2780,508-821-1295,508-821-1355,"K,01,02,03,04"
Taunton: Hopewell,2930035,Public School,Principal,Tara Gagnon,16 Monroe Street,Taunton,MA,2780,508-821-1240,508-821-1356,"K,01,02,03,04"
Taunton: John F Parker Middle,2930305,Public School,Principal,Michael Byron,60 Williams Street,Taunton,MA,2780,508-821-1112,508-821-1361,"05,06,07"
Taunton: Joseph C Chamberlain,2930008,Public School,Principal,Rose Schwartz,480 Norton Avenue,Taunton,MA,2780,508-821-3216,508-821-3877,"K,01,02,03,04"
Taunton: Joseph H Martin,2930042,Public School,Principal,Elizabeth Rodrigues,131 Caswell Street,East Taunton,MA,2718,508-821-1250,508-821-1273,"05,06,07"
Taunton: Mulcahey Elementary School,2930015,Public School,Principal,Christel Torres,28 Clifford Street,Taunton,MA,2780,508-821-1255,508-821-1360,"K,01,02,03,04"
Taunton: Taunton High,2930505,Public School,Principal,Matthew Mattos,50 Williams Street,Taunton,MA,2780,508-821-1101,508-821-1362,"08,09,10,11,12"
Tewksbury: John F. Ryan,2950023,Public School,Principal,Judi Mcinnes,135 Pleasant Street,Tewksbury,MA,1876,978-640-7880,978-640-7888,"05,06"
Tewksbury: John W. Wynn Middle,2950305,Public School,Principal,John Weir,1 Griffin Way,Tewksbury,MA,1876,978-640-7846,978-640-7853,"07,08"
Tewksbury: Louise Davy Trahan,2950025,Public School,Principal,Matthew Castonguay,12 Salem Rd,Tewksbury,MA,1876,978-640-7870,978-640-7874,"03,04"
Tewksbury: North Street,2950020,Public School,Principal,Karen Cronin,133 North Street,Tewksbury,MA,1876,978-640-7875,978-640-7879,"03,04"
Tisbury: Tisbury Elementary,2960005,Public School,Principal,John Custer,40 West William Street,Vineyard Haven,MA,2568,508-696-6500,508-696-7437,"PK,K,01,02,03,04,05,06,07,08"
Topsfield: Proctor Elementary,2980005,Public School,Principal,Sarah O'Leary,60 Main Street,Topsfield,MA,1983,978-887-1530,978-887-1531,"04,05,06"
Topsfield: Steward Elementary,2980010,Public School,Principal,Carroll Willa,261 Perkins Row,Topsfield,MA,1983,978-887-1538,978-887-7462,"PK,K,01,02,03"
Triton: Newbury Elementary,7730020,Public School,Principal,Beth Yando,63 Hanover Street,Newbury,MA,1951,978-465-5353,978-463-3070,"PK,K,01,02,03,04,05,06"
Triton: Pine Grove,7730025,Public School,Principal,Christine Kneeland,191 Main Street,Rowley,MA,1969,978-948-2520,978-948-2980,"PK,K,01,02,03,04,05,06"
Triton: Salisbury Elementary,7730015,Public School,Principal,James Montanari,100 Lafayette Rd.,Salisbury,MA,1952,978-463-5852,978-463-8149,"PK,K,01,02,03,04,05,06"
Triton: Triton Regional Middle School,7730405,Public School,Principal,Alan MacRae,112 Elm Street,Byfield,MA,1922,978-463-5845,978-463-5867,"07,08"
Truro: Truro Central,3000005,Public School,Principal,Robert Beaudet,P O Box 2029,Truro,MA,2666,508-487-1558,508-487-4289,"PK,K,01,02,03,04,05,06"
Tyngsborough: Tyngsborough Elementary,3010020,Public School,Principal,Kerry Ann Cavanaugh,205 Westford Road,Tyngsborough,MA,1879,978-649-1990,978-649-2004,"PK,K,01,02,03,04,05"
Tyngsborough: Tyngsborough Middle,3010305,Public School,Principal,Christopher Pollet,50 Norris Rd,Tyngsborough,MA,1879,978-649-3115,978-649-8673,"06,07,08"
UP Academy Charter School of Boston (District): UP Academy Charter School of Boston,4800405,Charter School,Principal,Katy Buckland,215 Dorchester Street,South Boston,MA,2127,617-635-8819,617-635-8820,"06,07,08"
UP Academy Charter School of Dorchester (District): UP Academy Charter School of Dorchester,35050405,Charter School,Principal,Jabari Peddie,35 Westville Street,Boston,MA,2124,617-635-8810,--,"PK,K,01,02,03,04,05,06,07,08"
Up-Island Regional: Chilmark Elementary,7740010,Public School,Principal,Susan Stevens,8 State Road,Chilmark,MA,2535,508-645-2562,508-645-2460,"K,01,02,03,04,05"
Up-Island Regional: West Tisbury Elementary,7740020,Public School,Principal,Donna Lowell-Bettencourt,401 Old County Road,West Tisbury,MA,2575,508-696-7738,508-696-7739,"PK,K,01,02,03,04,05,06,07,08"
Uxbridge: McCloskey Middle School,3040015,Public School,Principal,Leanne Demarco,62 Capron Street,Uxbridge,MA,1569,508-278-8634,508-278-8627,"06,07,08"
Uxbridge: Whitin Elementary School,3040020,Public School,Principal,Lori-Jean Fafard,120 Granite Street,Uxbridge,MA,1569,508-278-8640,508-278-8639,"03,04,05"
Veritas Preparatory Charter School (District): Veritas Preparatory Charter School,4980405,Charter School,Principal,Emily Baecher,370 Pine Street,Springfield,MA,1105,413-539-0055,413-306-5076,"05,06,07,08"
Wachusett: Central Tree Middle,7750310,Public School,Principal,David Cornacchioli,281 Main Street,Rutland,MA,1543,508-886-0073,508-886-0141,"06,07,08"
Wachusett: Chocksett Middle School,7750315,Public School,Principal,Christopher LaBreck,40 Boutelle Road,Sterling,MA,1564,978-422-6552,978-422-7720,"05,06,07,08"
Wachusett: Davis Hill Elementary,7750018,Public School,Principal,Jay Norton,78 Jamieson Road,Holden,MA,1520,508-829-1754,508-829-2057,"K,01,02,03,04,05"
Wachusett: Dawson,7750020,Public School,Principal,Shannon Bischoff,155 Salisbury Street,Holden,MA,1520,508-829-6828,508-829-6801,"K,01,02,03,04,05"
Wachusett: Glenwood Elementary School,7750060,Public School,Principal,Karen Cappucci,65 Glenwood Road,Rutland,MA,1543,508-886-0399,508-886-0392,"03,04,05"
Wachusett: Houghton Elementary,7750027,Public School,Principal,Anthony Cipro,32 Boutelle Road,Sterling,MA,1564,978-422-2333,978-422-2301,"K,01,02,03,04"
Wachusett: Leroy E.Mayo,7750032,Public School,Principal,Julie Carter,351 Bullard Street,Holden,MA,1520,508-829-3203,508-829-5216,"K,01,02,03,04,05"
Wachusett: Mountview Middle,7750305,Public School,Principal,Clifford Githmark,270 Shrewsbury Street,Holden,MA,1520,508-829-5577,508-829-3711,"06,07,08"
Wachusett: Paxton Center,7750040,Public School,Principal,Kathleen McCollumn,19 West Street,Paxton,MA,1612,508-798-8576,508-754-6569,"K,01,02,03,04,05,06,07,08"
Wachusett: Thomas Prince,7750045,Public School,Principal,Tammy Boyle,170 Sterling Road,Princeton,MA,1541,978-464-2110,978-464-2112,"K,01,02,03,04,05,06,07,08"
Wakefield: Dolbeare,3050005,Public School,Principal,TJ Liberti,340 Lowell Street,Wakefield,MA,1880,781-246-6480,781-246-6372,"K,01,02,03,04"
Wakefield: Galvin Middle School,3050310,Public School,Principal,Adam Colantuoni,525 Main Street,Wakefield,MA,1880,781-246-6410,781-224-5009,"05,06,07,08"
Wakefield: Greenwood,3050020,Public School,Principal,Deborah Collura,1030 Main Street,Wakefield,MA,1880,781-246-6460,781-224-5082,"K,01,02,03,04"
Wakefield: Walton,3050040,Public School,Principal,Elaina Byrne,18 Davidson Road,Wakefield,MA,1880,781-246-6494,781-246-6470,"01,02,03,04"
Wakefield: Woodville School,3050015,Public School,Principal,Michelle Zottoli,30 Farm Street,Wakefield,MA,1880,781-246-6469,781-224-5006,"K,01,02,03,04"
Wales: Wales Elementary,3060005,Public School,Principal,Richard Zinkus,PO Box 247,Wales,MA,1081,413-245-7748,413-245-4422,"PK,K,01,02,03,04,05,06"
Walpole: Bird Middle,3070305,Public School,Principal,Bridget Gough,625 Washington Street,East Walpole,MA,2032,508-660-7226,508-660-7229,"06,07,08"
Walpole: Boyden,3070010,Public School,Principal,Brendan Dearborn,1852 Washington Street,Walpole,MA,2081,508-660-7216,508-660-7217,"K,01,02,03,04,05"
Walpole: Eleanor N Johnson Middle,3070310,Public School,Principal,William Hahn,111 Robbins Road,Walpole,MA,2081,508-660-7242,508-660-7240,"06,07,08"
Walpole: Elm Street School,3070005,Public School,Principal,Rebecca Brogadir,415 Elm Street,Walpole,MA,2081,508-660-7374,508-660-7379,"K,01,02,03,04,05"
Walpole: Fisher,3070015,Public School,Principal,Colleen Duggan,65 Gould Street,Walpole,MA,2081,508-660-7234,508-660-7233,"K,01,02,03,04,05"
Walpole: Old Post Road,3070018,Public School,Principal,David Barner,99 Old Post Road,East Walpole,MA,2032,508-660-7219,508-660-3114,"K,01,02,03,04,05"
Waltham: Douglas MacArthur Elementary School,3080032,Public School,Principal,Jane Gately,494 Lincoln Street,Waltham,MA,2451,781-314-5721,781-314-5731,"K,01,02,03,04,05"
Waltham: Henry Whittemore Elementary School,3080065,Public School,Principal,Emma Herzog,30 Parmenter Road,Waltham,MA,2453,781-314-5785,781-314-5791,"K,01,02,03,04,05"
Waltham: James Fitzgerald Elementary School,3080060,Public School,Principal,Jennifer Santillo,140 Beal Road,Waltham,MA,2453,781-314-5685,781-314-5691,"K,01,02,03,04,05"
Waltham: John F Kennedy Middle,3080404,Public School,Principal,John Cawley,655 Lexington St,Waltham,MA,2452,781-314-5565,781-314-5571,"06,07,08"
Waltham: John W. McDevitt Middle School,3080415,Public School,Principal,Michael Sabin,75 Church Street,Waltham,MA,2453,781-314-5595,781-314-5601,"06,07,08"
Waltham: Northeast Elementary School,3080040,Public School,Principal,Mary Ellen Tenaglia,70 Putney Lane,Waltham,MA,2452,781-314-5745,781-314-5751,"PK,K,01,02,03,04,05"
Waltham: Thomas R Plympton Elementary School,3080050,Public School,Principal,Stephen Duffy,20 Farnsworth Street,Waltham,MA,2451,781-314-5765,781-314-5771,"K,01,02,03,04,05"
Waltham: William F. Stanley Elementary School,3080005,Public School,Principal,Jennifer Hacker,250 South Street,Waltham,MA,2453,781-314-5620,781-314-5631,"PK,K,01,02,03,04,05"
Ware: Stanley M Koziol Elementary School,3090020,Public School,Principal,Pamela Iwasinski,4 Gould Rd,Ware,MA,1082,413-967-6236,413-967-4203,"PK,K,01,02,03"
Ware: Ware Junior/Senior High School,3090505,Public School,Principal,Darren Elwell,237 West Street,Ware,MA,1082,413-967-6234,413-967-9053,"07,08,09,10,11,12"
Ware: Ware Middle School,3090305,Public School,Principal,Lisa Candito,239 West Street,Ware,MA,1082,413-967-6903,413-967-3182,"04,05,06"
Wareham: Minot Forest,3100017,Public School,Principal,Joan Seamans,85 Minot Avenue,Wareham,MA,2571,508-291-3555,508-291-3529,"PK,03,04"
Wareham: Wareham Middle,3100305,Public School,Principal,Peter Steedman,4 Viking Drive,Wareham,MA,2571,508-291-3550,508-291-3580,"05,06,07,08"
Watertown: Cunniff,3140015,Public School,Principal,Mena Ciarlone,246 Warren Street,Watertown,MA,2472,617-926-7726,617-924-0420,"PK,K,01,02,03,04,05"
Watertown: Hosmer,3140020,Public School,Principal,Robert LaRoche,1 Concord Rd,Watertown,MA,2472,617-926-7740,617-926-3259,"PK,K,01,02,03,04,05"
Watertown: James Russell Lowell,3140025,Public School,Principal,Stacy Phelan,175 Orchard Street,Watertown,MA,2472,617-926-7770,617-926-2676,"PK,K,01,02,03,04,05"
Watertown: Watertown Middle,3140305,Public School,Principal,James Carter,68 Waverley Avenue,Watertown,MA,2472,617-926-7783,617-926-5407,"06,07,08"
Wayland: Claypit Hill School,3150005,Public School,Principal,Christie Harvey,40 Adams Lane,Wayland,MA,1778,508-358-3851,508-358-3852,"K,01,02,03,04,05"
Wayland: Happy Hollow School,3150015,Public School,Principal,James Lee,63 Pequot Rd,Wayland,MA,1778,508-358-8641,508-358-8642,"K,01,02,03,04,05"
Wayland: Loker School,3150020,Public School,Principal,Brian Jones,47 Loker Street,Wayland,MA,1778,508-358-8601,508-650-4007,"K,01,02,03,04,05"
Wayland: Wayland Middle School,3150305,Public School,Principal,Elizabeth Gavron,201 Main Street,Wayland,MA,1778,508-655-6670,508-655-2548,"06,07,08"
Webster: Park Avenue Elementary,3160015,Public School,Principal,Ginger Coleman,58 Park Avenue,Webster,MA,1570,508-943-4554,508-949-1668,"PK,K,01,02,03,04"
Webster: Webster Middle School,3160315,Public School,Principal,Michael Zajac,75 Poland Street,Webster,MA,1570,508-943-1922,508-949-2648,"05,06,07,08"
Wellesley: Ernest F Upham,3170050,Public School,Principal,Jeffery Dees,35 Wynnewood Rd,Wellesley,MA,2481,781-446-6285,781-263-1507,"K,01,02,03,04,05"
Wellesley: Hunnewell,3170025,Public School,Principal,Ellen Quirk,28 Cameron Street,Wellesley,MA,2482,781-446-6275,781-263-1525,"K,01,02,03,04,05"
Wellesley: John D Hardy,3170020,Public School,Principal,Charlene Cook,293 Weston Rd,Wellesley,MA,2482,781-446-6270,781-263-1523,"K,01,02,03,04,05"
Wellesley: Joseph E Fiske,3170015,Public School,Principal,Rachel Mcgregor,45 Hastings Street,Wellesley,MA,2481,781-446-6265,781-263-1519,"PK,K,01,02,03,04,05"
Wellesley: Katharine Lee Bates,3170005,Public School,Principal,Antoinette Jolley,116 Elmwood Rd,Wellesley,MA,2481,781-446-6260,781-263-1520,"K,01,02,03,04,05"
Wellesley: Schofield,3170045,Public School,Principal,Gerardo Martinez,27 Cedar Street,Wellesley,MA,2481,781-446-6280,781-263-1527,"K,01,02,03,04,05"
Wellesley: Sprague Elementary School,3170048,Public School,Principal,Susan Snyder,401 School Street,Wellesley,MA,2482,781-263-1965,781-263-1963,"K,01,02,03,04,05"
Wellesley: Wellesley Middle,3170305,Public School,Principal,Mark Ito,50 Kingsbury Street,Wellesley,MA,2481,781-446-6235,781-446-6208,"06,07,08"
Wellfleet: Wellfleet Elementary,3180005,Public School,Principal,Mary Rodman,100 Lawrence Road,Wellfleet,MA,2667,508-349-3101,508-349-1377,"PK,K,01,02,03,04,05"
West Boylston: Major Edwards Elementary,3220005,Public School,Principal,Richard Meagher,70 Crescent Street,West Boylston,MA,1583,508-835-4461,508-835-4119,"PK,K,01,02,03,04,05"
West Boylston: West Boylston Junior/Senior High,3220505,Public School,Principal,Christopher Fournier,125 Crescent Street,West Boylston,MA,1583,508-835-4475,508-835-3925,"06,07,08,09,10,11,12"
